Start
A.L.E: Arcade Learning Environment (version 0.11.1+2750686)
[Powered by Stella]
Using device: cuda:0 
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 169/2000 | Total Frames: 190608 | Epsilon: 0.4499 | Reward: 0.00 | Avg 100-episode Reward: 0.50
Episode 170/2000 | Total Frames: 191440 | Epsilon: 0.4487 | Reward: 1.00 | Avg 100-episode Reward: 0.51
Episode 171/2000 | Total Frames: 192272 | Epsilon: 0.4476 | Reward: 12.00 | Avg 100-episode Reward: 0.61
Episode 172/2000 | Total Frames: 193104 | Epsilon: 0.4464 | Reward: 0.00 | Avg 100-episode Reward: 0.61
Episode 173/2000 | Total Frames: 193936 | Epsilon: 0.4453 | Reward: 0.00 | Avg 100-episode Reward: 0.60
Episode 174/2000 | Total Frames: 194768 | Epsilon: 0.4441 | Reward: 0.00 | Avg 100-episode Reward: 0.60
Episode 175/2000 | Total Frames: 195600 | Epsilon: 0.4430 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 176/2000 | Total Frames: 196432 | Epsilon: 0.4418 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 177/2000 | Total Frames: 197264 | Epsilon: 0.4407 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 178/2000 | Total Frames: 198096 | Epsilon: 0.4396 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 179/2000 | Total Frames: 198928 | Epsilon: 0.4384 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 180/2000 | Total Frames: 199760 | Epsilon: 0.4373 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Target network updated at step 200000
Episode 181/2000 | Total Frames: 200592 | Epsilon: 0.4362 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 182/2000 | Total Frames: 201424 | Epsilon: 0.4351 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 183/2000 | Total Frames: 202256 | Epsilon: 0.4340 | Reward: 3.00 | Avg 100-episode Reward: 0.59
Episode 184/2000 | Total Frames: 203088 | Epsilon: 0.4329 | Reward: 0.00 | Avg 100-episode Reward: 0.56
Episode 185/2000 | Total Frames: 203920 | Epsilon: 0.4318 | Reward: 0.00 | Avg 100-episode Reward: 0.54
Episode 186/2000 | Total Frames: 204752 | Epsilon: 0.4307 | Reward: 0.00 | Avg 100-episode Reward: 0.54
Episode 187/2000 | Total Frames: 205584 | Epsilon: 0.4296 | Reward: 0.00 | Avg 100-episode Reward: 0.53
Episode 188/2000 | Total Frames: 206416 | Epsilon: 0.4285 | Reward: 2.00 | Avg 100-episode Reward: 0.55
Episode 189/2000 | Total Frames: 207248 | Epsilon: 0.4274 | Reward: 3.00 | Avg 100-episode Reward: 0.58
Episode 190/2000 | Total Frames: 208080 | Epsilon: 0.4263 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 191/2000 | Total Frames: 208912 | Epsilon: 0.4252 | Reward: 1.00 | Avg 100-episode Reward: 0.59
Episode 192/2000 | Total Frames: 209744 | Epsilon: 0.4241 | Reward: 1.00 | Avg 100-episode Reward: 0.60
Target network updated at step 210000
Episode 193/2000 | Total Frames: 210576 | Epsilon: 0.4230 | Reward: 0.00 | Avg 100-episode Reward: 0.60
Episode 194/2000 | Total Frames: 211408 | Epsilon: 0.4220 | Reward: 0.00 | Avg 100-episode Reward: 0.60
Episode 195/2000 | Total Frames: 212240 | Epsilon: 0.4209 | Reward: 1.00 | Avg 100-episode Reward: 0.61
Episode 196/2000 | Total Frames: 213072 | Epsilon: 0.4198 | Reward: 5.00 | Avg 100-episode Reward: 0.66
Episode 197/2000 | Total Frames: 213904 | Epsilon: 0.4188 | Reward: 1.00 | Avg 100-episode Reward: 0.66
Episode 198/2000 | Total Frames: 214736 | Epsilon: 0.4177 | Reward: 4.00 | Avg 100-episode Reward: 0.68
Episode 199/2000 | Total Frames: 215568 | Epsilon: 0.4167 | Reward: 0.00 | Avg 100-episode Reward: 0.68
Episode 200/2000 | Total Frames: 216400 | Epsilon: 0.4156 | Reward: 0.00 | Avg 100-episode Reward: 0.68
Model checkpoint saved after episode 200
Episode 201/2000 | Total Frames: 217232 | Epsilon: 0.4145 | Reward: 0.00 | Avg 100-episode Reward: 0.66
Episode 202/2000 | Total Frames: 218064 | Epsilon: 0.4135 | Reward: 12.00 | Avg 100-episode Reward: 0.78
Episode 203/2000 | Total Frames: 218896 | Epsilon: 0.4125 | Reward: 0.00 | Avg 100-episode Reward: 0.78
Episode 204/2000 | Total Frames: 219728 | Epsilon: 0.4114 | Reward: 5.00 | Avg 100-episode Reward: 0.83
Target network updated at step 220000
Episode 205/2000 | Total Frames: 220560 | Epsilon: 0.4104 | Reward: 2.00 | Avg 100-episode Reward: 0.83
Episode 206/2000 | Total Frames: 221392 | Epsilon: 0.4094 | Reward: 1.00 | Avg 100-episode Reward: 0.84
Episode 207/2000 | Total Frames: 222224 | Epsilon: 0.4083 | Reward: 2.00 | Avg 100-episode Reward: 0.86
Episode 208/2000 | Total Frames: 223056 | Epsilon: 0.4073 | Reward: 1.00 | Avg 100-episode Reward: 0.87
